;;;Gurobi;;;;;Hexaly;;;;;;MAB;;;;;BVNS;;;;
Group;Instance;Vmin;Error;TTB;Cpu T.;Optimal;Desv;Error;TTB;Cpu T. Parl;Optimal;Feasible/opt;Desv;Error;TTB;Cpu T.;Optimal;Desv;Error;TTB;Cpu T.;Optimal;Desv
big;512-Randomized_vertices-0.15-sherman4.hwb;0;;;;;0,00%;2;1;600;FALSE;HxSolutionStatus.FEASIBLE;200,00%;4;0;616,681;FALSE;400,00%;0,546;23;23;TRUE;0,00%
big;513-Randomized_vertices-0.15-shl__200.hwb;0;;;;;0,00%;2;3;600;FALSE;HxSolutionStatus.FEASIBLE;200,00%;4;270;616,433;FALSE;400,00%;0,663;2;2;TRUE;0,00%
big;514-Randomized_vertices-0.15-shl__400.hwb;0;;;;;0,00%;1;13;600;FALSE;HxSolutionStatus.FEASIBLE;100,00%;2;350;730,534;FALSE;200,00%;0,663;3;3;TRUE;0,00%
big;515-Randomized_vertices-0.15-shl____0.hwb;0;;;;;0,00%;1;186;600;FALSE;HxSolutionStatus.FEASIBLE;100,00%;3;357;818,167;FALSE;300,00%;0,663;4;4;TRUE;0,00%
big;531-Randomized_vertices-0.25-494_bus.hwb;0;;;;;0,00%;1;1;600;FALSE;HxSolutionStatus.FEASIBLE;100,00%;1;46;603,546;FALSE;100,00%;0,494;0;0;TRUE;0,00%
big;556-Randomized_vertices-0.25-can__445.hwb;0;;;;;0,00%;2;159;600;FALSE;HxSolutionStatus.FEASIBLE;200,00%;6;65;615,418;FALSE;600,00%;0,445;0;0;TRUE;0,00%
big;564-Randomized_vertices-0.25-dwt__234.hwb;0;;;;;0,00%;0;87;87;TRUE;HxSolutionStatus.OPTIMAL;0,00%;1;18;602,016;FALSE;100,00%;0,234;0;0;TRUE;0,00%
big;565-Randomized_vertices-0.25-dwt__245.hwb;0;;;;;0,00%;0;39;39;TRUE;HxSolutionStatus.OPTIMAL;0,00%;1;441;602,479;FALSE;100,00%;0,245;0;0;TRUE;0,00%
big;572-Randomized_vertices-0.25-dwt__607.hwb;0;;;;;0,00%;0;235;235;TRUE;HxSolutionStatus.OPTIMAL;0,00%;7;433;633,521;FALSE;700,00%;0,607;0;0;TRUE;0,00%
big;615-Randomized_vertices-0.25-pores_3.hwb;0;;;;;0,00%;0;85;85;TRUE;HxSolutionStatus.OPTIMAL;0,00%;6;19;615,523;FALSE;600,00%;0,456;0;0;TRUE;0,00%
